row_type,legacy_url_or_source_url,canonical_local_url,source_view_template,wp_template_file,handling,status,comment
source-url,/o-banke-slavyanbank-html/organy_upravlenya.html/,,views.governance -> templates/governance.html,,external fallback,fallback-external,Не перенесено; сохранен осознанный внешний fallback. Canonical target пока внешний: https://slavbank.ru/o-banke-slavyanbank-html/organy_upravlenya.html/
source-url,/o-banke-html/info_bank-html/raskritie-informacii.html/,,views.disclosur_regulatory -> templates/disclosure-regulatory.html,,external fallback,fallback-external,Не перенесено; сохранен осознанный внешний fallback. Canonical target пока внешний: https://slavbank.ru/o-banke-html/info_bank-html/raskritie-informacii.html/
source-url,/informacziya-dlya-notariusov.html/,,views.notaries -> templates/notaries.html,,external fallback,fallback-external,Не перенесено; сохранен осознанный внешний fallback. Canonical target пока внешний: https://slavbank.ru/informacziya-dlya-notariusov.html/
source-url,/novosti.html/,,views.novosti -> templates/news.html,,external fallback,fallback-external,Не перенесено; сохранен осознанный внешний fallback. Canonical target пока внешний: https://slavbank.ru/novosti.html/
source-url,/tarify-banka-html/tarify_rf.html/,,views.tariffs_rub -> templates/tariffs-rub.html,,external fallback,fallback-external,Тарифный HTML-подраздел пока внешний. Canonical target пока внешний: https://slavbank.ru/tarify-banka-html/tarify_rf.html/
source-url,/tarify-banka-html/tarif_slavny.html/,,views.tariffs_slavny -> templates/tariffs-slavny.html,,external fallback,fallback-external,Тарифный HTML-подраздел пока внешний. Canonical target пока внешний: https://slavbank.ru/tarify-banka-html/tarif_slavny.html/
source-url,/tarify-banka-html/tarif_privetstvenny.html/,,TemplateView -> templates/tariff-privetstvenny.html,,external fallback,fallback-external,Тарифный HTML-подраздел пока внешний. Canonical target пока внешний: https://slavbank.ru/tarify-banka-html/tarif_privetstvenny.html/
source-url,/tarify-banka-html/tarif_depositny.html/,,TemplateView -> templates/tariff-depositny.html,,external fallback,fallback-external,Тарифный HTML-подраздел пока внешний. Canonical target пока внешний: https://slavbank.ru/tarify-banka-html/tarif_depositny.html/
source-url,/tarify-banka-html/tarify_valuta.html/,,TemplateView -> templates/tariffs-foreign-currency.html,,external fallback,fallback-external,Тарифный HTML-подраздел пока внешний. Canonical target пока внешний: https://slavbank.ru/tarify-banka-html/tarify_valuta.html/
source-url,/yuridicheskim-liczam.html/,,TemplateView -> templates/legal-entities.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam.html/
source-url,/yuridicheskim-liczam-html/deposity-dlya-yur-lic.html/,,TemplateView -> templates/business-deposits.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/deposity-dlya-yur-lic.html/
source-url,/yuridicheskim-liczam-html/kreditovanie-yuridicheskih-licz.html/,,TemplateView -> templates/business-lending.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/kreditovanie-yuridicheskih-licz.html/
source-url,/yuridicheskim-liczam-html/obsluzivanie-schetov-rf.html/,,TemplateView -> templates/account-service.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/obsluzivanie-schetov-rf.html/
source-url,/yuridicheskim-liczam-html/obsluzivanie-valut-schetov.html/,,TemplateView -> templates/fx-account-service.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/obsluzivanie-valut-schetov.html/
source-url,/yuridicheskim-liczam-html/valutny-kontrol.html/,,TemplateView -> templates/currency-control.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/valutny-kontrol.html/
source-url,/pod-ft-fromu.html/,,TemplateView -> templates/aml-fatca.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/pod-ft-fromu.html/
source-url,/crs-obmen-s-fns.html/,,TemplateView -> templates/crs.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/crs-obmen-s-fns.html/
source-url,/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/beznalichnye-raschety.html/,,TemplateView -> templates/cashless-payments.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/beznalichnye-raschety.html/
source-url,/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/nalichnye-raschety.html/,,TemplateView -> templates/cash-payments.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/nalichnye-raschety.html/
source-url,/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/platezhnye-trebovaniya-s-akczeptom.html/,,TemplateView -> templates/payment-demands.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/yuridicheskim-liczam-html/obsluzivanie-schetov-rf/platezhnye-trebovaniya-s-akczeptom.html/
source-url,/chastnym-liczam.html/,,TemplateView -> templates/private-persons.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/chastnym-liczam.html/
source-url,/klient-bank-online.html/,,TemplateView -> templates/client-bank-online.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/klient-bank-online.html/
source-url,/podderzhka-html/instrukcziya-po-rabote-v-sisteme-klient-bank.html/,,TemplateView -> templates/instruction.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/podderzhka-html/instrukcziya-po-rabote-v-sisteme-klient-bank.html/
source-url,/podderzhka-html/chasto-zadavaemye-voprosy.html/,,TemplateView -> templates/faq.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/podderzhka-html/chasto-zadavaemye-voprosy.html/
source-url,/podderzhka-html/regen.html/,,TemplateView -> templates/ecp-regeneration.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/podderzhka-html/regen.html/
source-url,/podderzhka-html/recom_bezopasnost.html/,,TemplateView -> templates/security.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/podderzhka-html/recom_bezopasnost.html/
source-url,/obrashhenie-po-123-fz.html/,,TemplateView -> templates/appeal-123-fz.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/obrashhenie-po-123-fz.html/
source-url,/covid19.html/,,TemplateView -> templates/covid19.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/covid19.html/
source-url,/vakansii.html/,,TemplateView -> templates/vacancies.html,,external fallback,fallback-external,Не перенесено; сохранен внешний fallback. Canonical target пока внешний: https://slavbank.ru/vakansii.html/
source-url,/footers/,,TemplateView -> templates/footer-variants.html,,blocked,blocked,Служебный вариант футера; в theme runtime не нужен.
source-url,/preview/<int:page>/,,views.preview_home -> preview-home-v{page}.html,,blocked,blocked,Служебный preview-маршрут; в theme runtime не нужен.
